userid,recency,frequency,monetary
1,1,1,60000
2,5,2,120000
3,6,4,240000
4,6,4,240000
5,6,4,240000
6,6,4,240000
7,6,4,240000
8,5,2,120000
9,5,2,120000
10,5,2,120000
11,5,2,120000
12,5,2,120000
13,5,3,180000
14,6,4,240000
15,4,2,120000
16,4,2,120000
17,1,1,60000
18,3,2,120000
19,1,1,60000
20,3,2,120000
21,6,2,120000
22,3,2,120000
24,6,4,240000
25,5,4,240000
27,6,5,300000
29,3,1,60000
30,6,2,120000
31,6,3,180000
32,6,2,120000
33,6,3,180000
34,4,1,60000
35,4,1,60000
36,4,1,60000
37,5,2,120000
38,5,3,180000
39,5,2,120000
40,5,3,180000
41,5,2,120000
42,5,1,60000
43,5,2,120000
44,6,2,120000
45,6,2,120000
46,6,1,60000
47,6,1,60000
48,6,1,60000
50,6,5,300000
51,4,1,60000
52,4,1,60000
53,4,1,60000
54,4,1,60000
55,4,1,60000
56,4,2,120000
57,6,2,120000
58,6,2,120000
59,6,2,120000
60,5,3,180000
61,6,2,120000
62,6,2,120000
63,5,2,120000
64,5,1,60000
65,5,1,60000
66,5,2,120000
67,6,5,300000
68,5,4,240000
69,5,1,60000
70,5,1,60000
71,6,2,120000
72,6,1,60000
73,6,2,120000
74,6,1,60000
75,4,3,180000
76,4,4,240000
77,4,1,60000
78,4,1,60000
79,4,2,120000
80,4,1,60000
81,4,1,60000
82,4,1,60000
83,4,2,120000
84,5,2,120000
85,5,3,180000
86,5,2,120000
87,5,2,120000
88,5,2,120000
89,6,1,60000
92,3,3,180000
95,6,1,60000
98,6,1,60000
99,3,3,180000
100,2,2,120000
101,6,3,180000
105,5,1,60000
106,5,1,60000
107,5,1,60000
108,6,2,120000
109,5,1,60000
110,6,5,300000
111,4,1,60000
112,4,1,60000
113,4,1,60000
114,4,1,60000
115,4,1,60000
116,6,2,120000
117,6,5,300000
118,6,5,300000
123,5,1,60000
124,5,1,60000
125,5,1,60000
126,6,2,120000
127,5,1,60000
128,5,1,60000
133,6,1,60000
138,6,1,60000
139,6,1,60000
140,6,1,60000
141,6,3,180000
142,6,1,60000
143,6,1,60000
144,6,3,180000
147,6,3,180000
153,6,1,60000
154,6,2,120000
155,6,4,240000
156,6,1,60000
157,6,4,240000
158,6,1,60000
159,6,2,120000
162,5,5,300000
163,3,1,60000
164,3,1,60000
166,3,1,60000
167,5,4,240000
168,5,4,240000
169,4,1,60000
170,4,1,60000
171,4,1,60000
172,4,1,60000
173,5,4,240000
174,5,4,240000
176,6,1,60000
177,6,1,60000
178,4,3,180000
179,6,1,60000
180,6,1,60000
184,4,3,180000
186,6,1,60000
187,4,2,120000
188,6,1,60000
189,6,1,60000
190,6,2,120000
191,3,1,60000
194,3,1,60000
195,3,1,60000
196,5,4,240000
197,5,2,120000
198,5,1,60000
199,5,2,120000
200,6,2,120000
201,6,2,120000
202,6,2,120000
203,6,2,120000
204,5,4,240000
205,6,1,60000
210,6,1,60000
211,6,2,120000
215,3,1,60000
216,6,1,60000
217,5,2,120000
218,5,2,120000
219,5,2,120000
220,5,4,240000
221,6,3,180000
222,5,1,60000
223,3,1,60000
228,6,1,60000
229,1,1,60000
234,6,1,60000
235,6,6,360000
241,6,1,60000
243,3,1,60000
244,6,5,300000
245,5,2,120000
246,5,2,120000
247,6,5,300000
248,6,2,120000
249,5,2,120000
250,6,6,360000
255,6,2,120000
256,5,1,60000
257,6,2,120000
258,6,1,60000
259,6,1,60000
260,6,1,60000
261,6,5,300000
266,5,1,60000
267,3,1,60000
268,3,1,60000
269,5,2,120000
271,6,2,120000
272,6,1,60000
273,6,1,60000
274,6,5,300000
275,6,2,120000
279,6,6,360000
283,3,1,60000
284,6,5,300000
285,6,4,240000
287,6,4,240000
289,6,4,240000
290,4,3,180000
291,4,3,180000
293,3,1,60000
294,6,2,120000
295,5,5,300000
296,6,1,60000
297,5,5,300000
298,6,2,120000
299,5,4,240000
300,5,4,240000
301,6,2,120000
302,5,4,240000
303,5,1,60000
304,5,1,60000
305,4,3,180000
306,4,3,180000
308,6,4,240000
309,6,4,240000
313,6,4,240000
314,6,4,240000
315,6,5,300000
316,3,1,60000
317,6,6,360000
318,6,5,300000
320,6,5,300000
322,6,1,60000
327,5,1,60000
328,5,1,60000
329,6,2,120000
330,5,2,120000
331,5,1,60000
332,3,1,60000
333,3,1,60000
334,3,1,60000
337,5,1,60000
338,5,1,60000
339,5,1,60000
342,6,1,60000
343,6,5,300000
348,6,1,60000
349,6,5,300000
353,6,5,300000
355,6,1,60000
356,6,3,180000
357,6,3,180000
358,5,2,120000
359,5,1,60000
360,5,1,60000
362,4,4,240000
364,6,1,60000
365,6,1,60000
366,6,1,60000
368,5,1,60000
369,5,1,60000
370,5,1,60000
371,5,1,60000
373,6,1,60000
374,6,1,60000
375,6,1,60000
376,6,1,60000
377,3,1,60000
383,4,4,240000
387,6,1,60000
388,6,2,120000
389,6,2,120000
390,6,2,120000
392,3,1,60000
393,3,1,60000
395,4,3,180000
398,5,1,60000
402,3,1,60000
405,6,2,120000
406,6,1,60000
407,6,1,60000
408,6,1,60000
409,6,1,60000
410,6,2,120000
411,6,2,120000
412,6,1,60000
413,5,4,240000
416,3,1,60000
417,3,1,60000
418,5,1,60000
420,3,1,60000
425,4,3,180000
428,6,1,60000
430,4,3,180000
434,4,3,180000
435,6,1,60000
436,5,1,60000
438,3,1,60000
439,3,1,60000
441,5,1,60000
444,4,3,180000
445,6,1,60000
447,1,1,60000
448,5,1,60000
450,4,3,180000
453,6,2,120000
455,5,2,120000
457,6,1,60000
459,5,2,120000
460,1,1,60000
461,1,1,60000
462,6,2,120000
463,4,4,240000
464,1,1,60000
465,5,2,120000
466,6,4,240000
467,6,4,240000
468,6,6,360000
470,6,6,360000
473,1,1,60000
475,3,1,60000
476,6,5,300000
477,6,5,300000
478,6,6,360000
479,5,5,300000
480,5,5,300000
481,3,1,60000
482,5,4,240000
487,4,4,240000
488,4,4,240000
490,6,1,60000
492,5,5,300000
493,5,1,60000
494,5,2,120000
495,5,4,240000
496,6,2,120000
498,4,3,180000
501,6,6,360000
503,6,6,360000
505,6,3,180000
507,4,2,120000
508,6,1,60000
509,6,6,360000
510,6,1,60000
511,5,5,300000
512,6,1,60000
513,6,3,180000
514,6,4,240000
515,6,2,120000
516,5,1,60000
519,6,6,360000
520,6,6,360000
